Object Type,Object Name,Control Name,Property Name,Old Value,New Value,Time
"Table","tblCustomers","Source","RowSource","SELECT [tblSourceold].[SSource], [tblSourceold].[SourceAddress], [tblSourceold].[SourceState], [tblSourceold].[SourceCity], [tblSourceold].[SourceZip] FROM tblSourceold; ","SELECT [tblSource].[SSource], [tblSource].[SourceAddress], [tblSource].[SourceState], [tblSource].[SourceCity], [tblSource].[SourceZip] FROM tblSource; ",
"Report","Range of InHouseCleanWO",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblCustWorkOrderDetail.WorkOrderNo, tblCustWorkOrderDetail.CustID AS tblCustWorkOrderDetail_CustID, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo, tblCustWorkOrderDetail.DateIn FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID=tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.WorkOrderNo) Between [Type the beginning workorder:] And [Type the ending workorder:])); ","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])); ",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT tblCustAwngs.Description, tblCustAwngs.Qty, tblCustAwngs.Material, tblCustAwngs.Color, tblCustAwngs.SizeWgt, tblCustAwngs.Condition, tblCustAwngs.Price FROM tblCustAwngs WHERE (((tblCustAwngs.CustID)=[forms]![workorderdetail]![custid]));","SELECT [tblCustAwngs].[Description], [tblCustAwngs].[Qty], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs;","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs; ",
"Query","Query1",,,"INSERT INTO tblCustWorkOrderDetail ( WorkOrderNo ) SELECT Table1.workorderno FROM Table1; ","INSERT INTO tblCustWorkOrderDetail ( WorkOrderNo ) SELECT [Table1].[workorderno] FROM Table1; ",
"Query","qryCustWorkOrderDetail",,,"SELECT tblCustWorkOrderDetail.WorkOrderNo, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.CustID FROM tblCustWorkOrderDetail WHERE (((tblCustWorkOrderDetail.WorkOrderNo)=[Enter the Work Order Number])); ","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[CustID] FROM tblCustWorkOrderDetail WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo])=[Enter the Work Order Number])); ",
"Form","frmCustomers","ShipCity","ControlSource","ShipCity","SourceCity",
"Form","frmCustomers","ShipZip","ControlSource","ShipZip","SourceZip",
"Form","frmCustomers","ShipAddress","ControlSource","ShipAddress","SourceAddress",
"Form","frmCustomers","Text52","ControlSource","ShipState","SourceState",
