RepairOrderNo	CustID	Qty	Description	Material	Condition	Color	SizeWgt	Price
12735	"2905"	1	"RU2 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"5'11x3'4"	0.0000
12735	"2905"	1	"Double-garage A"	"Acrylic"	"New21"	"Pacific Blue"	"4'3""x2'2"	0.0000
12735	"2905"	1	"Double-garage B"	"Acrylic"	"New21"	"Pacific Blue"	"4'3""x2'2"	0.0000
12736	"20743"	1	"Ext P-R-R (aka R1orR2)"	"Acrylic"		"Grey/Green/Red/Multi"	"9'11x4'11=48.81'"	0.0000
12736	"20743"	1	"Ext P-R-F (aka R1orR2)"	"Acrylic"		"Grey/Green/Red/Multi"	"9'10x4'10=47.48'"	0.0000
12736	"20743"	1	"Ext P-F (aka F7)"	"Acrylic"		"Grey/Green/Red/Multi"	"8'11x4'11=43.47'"	0.0000
12736	"20743"	1	"Ext P-R (aka B1)"	"Acrylic"		"Grey/Green/Red/Multi"	"9'5x5=47.1'"	0.0000
12737	"22863"	1	"Pergola cover"	"Acrylic"		"Olive/White"	"22'6x9'11=200.7'"	0.0000
12738	"1392"	1	"Single R2"	"Acrylic"	"New S01"	"Moss Classic"		0.0000
12739	"26714"	1	"Single LU1"	"Acrylic"	"New06"	"Blue Fancy"		0.0000
12739	"26714"	1	"Ext BU"	"Acrylic"	"New06"	"Blue Fancy"		0.0000
12739	"26714"	1	"Ext BD"	"Acrylic"	"New06"	"Blue Fancy"		0.0000
12740	"26684"	1	"Bimini"	"Acrylic"	"Faded"	"Lt. Blue"	"9x7'1=63.72'"	0.0000
12740	"26684"	1	"Dodger"	"Acrylic"	"Faded"	"Lt. Blue"	"~10x4=40'"	0.0000
12741	"12101"	2	"Sides"	"vinyl"	"Fair/Good"	"White"	"10'1x7'1=71.37'/"	0.0000
12742	"12959"	1	"Boom Tent"	"acrylic"		"Tan"	"7'9x14'=108.5'"	0.0000
12743	"23979"	1	"Patio"	"Acrylic"	"New09"	"Green/Grey/White"	"32x8'9=280'"	0.0000
12744	"20744"	1	"Double F1"	"Acrylic"		"Black/Grey"		0.0000
12744	"20744"	1	"Double B1"	"Acrylic"		"Black/Grey"		0.0000
12745	"24538"	1	"Patio-large"	"Acrylic"		"White/MultiGreen stripe"	"28'3x16'9=473'"	0.0000
12745	"24538"	1	"Patio-small"	"Acrylic"		"White/MultiGreen stripe"	"14'3x8'10=128.7'"	0.0000
12745	"24538"	1	"Roof flap-triangle"	"Acrylic"		"White/MultiGreen stripe"	"(1/2)4'3x12'5"	0.0000
12745	"24538"	1	"Back flap/filler piece"	"Acrylic"		"White/MultiGreen stripe"	"3'9x2'3"	0.0000
12745	"24538"	1	"Side panel LS-triangle"	"Acrylic"		"White/MultiGreen stripe"		0.0000
12746	"24296"	1	"Lateral"	"Acrylic"		"White"	"20'3x7'11=160.38'"	0.0000
12747	"17554"	1	"Patio"	"Acrylic"	"Good"	"Beige/White Stripe"	"21'8x23'5=507.51'"	0.0000
12748	"15853"	1	"Freestander #1"	"Acrylic"		"Green Tweed"	"38'6x23=885.5'"	0.0000
12748	"15853"	1	"Frestander #2"	"Acrylic"		"Green Tweed"	"49'6x25'6=1262.25'"	0.0000
12748	"15853"	1	"Freestander #3"	"Acrylic"		"Green Tweed"	"29'2x25'2=734.21'"	0.0000
12749	"26725"	3	"Pergola shades"	"Acrylic"		"Blue/LtBlue/Grey/Multi"	"11'3x5=56.25'/140.63"	0.0000
12750	"23040"	1	"Ext B1"	"Canvas"		"Tan"	"19x4'3=80.75'"	0.0000
12751	"7381"	1	"Patio"	"acrylic"		"Green/Cream Stripe"	"16'7x16'6=273.57'"	0.0000
12419	"1405"	1	"Entrance 55 RS"					0.0000
12420	"25812"	1	"Lateral"	"Sunbrella 6073"	"New"	"Spa (minty blue-green)"		0.0000
12420	"25812"	1	"Valance"	"Sunbrella 6073"	"New"	"Spa (minty blue-green)"	"6"" linear"	0.0000
12421	"22991"	1	"Patio"	"Acrylic"	"New11?"	"Blue/Black/White Fancy"	"16x14'1=224.64"	0.0000
12422	"22830"	1	"Cover"	"Acrylic"	"Fair"	"Brown Tweed"	"13x6'10=88.79'"	0.0000
12423	"25813"	1	"Cover"	"Acrylic"		"Lt. Beige"	"8'5x7'8=64.58'"	0.0000
12424	"25791"	1	"Valance"	"Acrylic"	"Fair"	"Green/Beige"	"9'8x6"""	0.0000
12424	"25791"	1	"Valance"	"Acrylic"	"Fair"	"Green/Beige"	"14x6"""	0.0000
12425	"25815"	1	"Bimini"	"Acrylic"	"Fair"	"White"	"7'7x9'8=73.3'"	0.0000
12426	"2598"		"Porch Panel 1"					0.0000
12427	"15196"	1	"Umbrella-octagon"	"Acrylic"		"White"		0.0000
12428	"2301"	1	"Table cover"	"Vinyl - 20 mil"		"CLEAR VINYL"	"40.5"" X 70.5"""	0.0000
12429	"25818"	1	"Cover 1"	"Acrylic"		"Burgundy"	"7x4'4=30.38'"	0.0000
12429	"25818"	1	"Cover 2"	"Acrylic"		"Burgundy"	"2'6x3'4=8.35'"	0.0000
12429	"25818"	1	"Cover 3-triangleish"	"Acrylic"		"Burgundy"	"~4'7x2'7=11.82'"	0.0000
12429	"25818"	1	"Cover 4-triangleish"	"Acrylic"		"Burgundy"	"~4'7x2'7=11.82'"	0.0000
12429	"25818"	1	"Cover 5- U-shape"	"Acrylic"		"Burgundy"	"~8'2x4'8-wings=55.13'"	0.0000
12430	"25820"	1	"Furniture covers"	"SunbSUPREME"	"2-sided"	"Linen"	"2'2x3'2=13.76'"	0.0000
